CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
AU565_BREAST,AU565,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-18,-13,-55,-72,-69,-72,-73,-71",".28,12.3,7.15,7.16,1.84,1.17,3.39,5.24",8,Sigmoid,0.021328464,0.0233486,-71.35012054,4.2668
BT20_BREAST,BT-20,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-17,21.2,-28,-14,-20,-24,-28,-39","1.15,5.07,11.4,1.79,21.1,8.50,1.83,8.98",8,Constant,NA,8,-19.38268089,1.0525
BT474_BREAST,BT-474,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","7.77,-14,-36,-79,-81,-86,-97,-95","9.85,5.55,.40,8.60,2.73,6.73,.21,3.48",8,Sigmoid,0.033079438,0.044726733,-96.64443207,3.7846
BT549_BREAST,BT-549,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-20,-23,-59,-66,-76,-80,-79,-80","10.5,6.78,3.22,2.13,7.12,7.63,.78,2.75",8,Sigmoid,0.01780379,0.020397235,-77.85842896,4.799
CAL851_BREAST,CAL-85-1,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-13,-10,-27,-30,-60,-63,-80,-81","4.74,7.58,3.40,7.17,1.83,5.74,5.80,1.05",8,Sigmoid,0.141157091,0.175339907,-81.52091217,3.6877
CAMA1_BREAST,CAMA-1,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-12,-35,-26,-56,-56,-53,-59,-72","15.2,15.9,9.19,8.73,.0094,1.51,7.68,2.69",8,Sigmoid,0.013019911,0.141045213,-66.17385101,3.1786
EFM19_BREAST,EFM-19,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-5.1,3.03,-16,-60,-66,-69,-68,-75","4.23,6.61,3.70,.95,5.53,2.46,4.03,.10",8,Sigmoid,0.042367008,0.058103666,-69.85145569,3.5096
HCC1187_BREAST,HCC1187,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-24,-2.7,6.47,26.0,16.6,-7.9,-59,-55","2.55,1.56,10.7,7.94,5.68,26.6,3.54,3.94",8,Sigmoid,1.017667413,1.531470418,-57.36456299,1.2846
HCC1395_BREAST,HCC1395,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.6,-15,-35,-39,-26,-38,-43,-49","2.20,6.99,8.02,2.28,22.3,2.87,4.10,2.78",8,Sigmoid,0.010956545,8,-42.42713165,2.6091
HCC1569_BREAST,HCC1569,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-3.1,-.092,-5.9,-21,-58,-71,-77,-79","13.1,16.5,3.43,3.41,6.18,.41,4.00,4.80",8,Sigmoid,0.144838095,0.201155081,-77.08747101,2.8103
HCC1806_BREAST,HCC1806,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-.97,7.30,2.79,-62,-86,-88,-92,-90","15.8,4.84,4.13,.30,1.21,.18,2.02,2.13",8,Sigmoid,0.059570543,0.06748455,-89.12297058,4.1444
HCC1954_BREAST,HCC1954,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-32,-6.1,-34,-69,-84,-81,-84,-84","12.0,34.9,11.2,1.09,.36,3.76,.70,2.70",8,Sigmoid,0.053708408,0.048323501,-83.62531281,4.5797
HCC70_BREAST,HCC70,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-6.2,4.55,-32,-36,-64,-71,-69,-80","15.2,16.0,18.9,16.7,2.89,1.40,1.12,4.25",8,Sigmoid,7.088535118,0.065257996,-79.20053101,3.0273
HDQP1_BREAST,HDQ-P1,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-17,3.24,-.24,-30,-69,-73,-74,-69","5.37,13.5,53.2,29.8,3.56,12.5,13.8,17.1",8,Sigmoid,0.098501183,0.122433454,-72.57951355,4.9797
HMC18_BREAST,HMC-1-8,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-12,-10,-7.9,-46,-76,-85,-86,-87","5.70,3.35,2.89,8.09,.66,.13,2.51,.74",8,Sigmoid,0.09855096,0.105055355,-86.08422089,3.6072
HS578T_BREAST,Hs 578T,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-15,-16,-11,-66,-74,-77,-79,-78",".79,9.40,9.76,2.78,4.12,3.74,1.54,5.93",8,Sigmoid,0.059520297,0.062882334,-76.93476868,3.8639
HS739T_BREAST,Hs 739.T,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","2.99,17.4,.96,2.28,-21,-59,-66,-73","8.72,10.3,1.84,.32,6.81,.47,.80,6.45",8,Sigmoid,0.346120328,0.560182333,-70.04811859,2.0852
MB157_BREAST,MB 157,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","5.30,-2.4,-.43,-22,-62,-65,-61,-64","21.5,26.7,.98,2.71,2.08,2.52,3.84,5.69",8,Sigmoid,0.095196359,0.124791831,-63.27293777,3.3281
MCF7_BREAST,MCF7,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-41,-6.2,-33,-12,-89,-69,-99,-81","16.4,54.9,27.0,4.75,15.3,11.5,2.30,14.4",8,Linear,NA,0.01876104,-88.48046875,2.2316
MDAMB157_BREAST,MDA-MB-157,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-9.6,23.7,-6.9,-14,-24,-5.6,-33,11.6","7.18,13.7,28.5,5.76,6.83,.56,7.40,2.18",8,Constant,NA,8,-8.078001022,0.8792
MDAMB175VII_BREAST,MDA-MB-175-VII,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","10.2,1.44,-42,-62,-61,-60,-69,-62","9.21,8.75,6.57,9.56,4.64,11.0,2.14,10.9",8,Sigmoid,0.017604515,0.032827336,-63.1816864,3.1627
MDAMB415_BREAST,MDA-MB-415,17-AAG,HSP90,".0025,.0080,.025,.080,.25,.80,2.53,8","-14,-8.5,-69,-77,-84,-85,-92,-85","23.8,39.1,3.00,1.70,.60,10.2,15.2,1.23",8,Sigmoid,0.0206032,0.018407384,-82.0868454,3.8425
