CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
A549_LUNG	A549		M	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H01_241018	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036	yes	yes
ABC1_LUNG	ABC-1		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D12_296084	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226	yes	yes
AU565_BREAST	AU565		F	breast	carcinoma	NS	Metastatic pair: SK-BR-3 and AU565 are from the same patient	ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B02_383772	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244	yes	yes
BEN_LUNG	BEN		M	lung	carcinoma	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C02_474694	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352	yes	yes
BT20_BREAST	BT-20		F	breast	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C02_383640	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318	yes	yes
BT474_BREAST	BT-474		F	breast	carcinoma	ductal_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E07_296098	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326	yes	yes
BT483_BREAST	BT-483		F	breast	carcinoma	ductal_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A08_474686	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B06_464594	yes	yes
BT549_BREAST	BT-549		F	breast	carcinoma	ductal_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A09_257614	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B08_256040	yes	yes
CAL120_BREAST	CAL-120		F	breast	carcinoma	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H01_474610	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466	yes	yes
CAL12T_LUNG	CAL-12T		M	lung	carcinoma	non_small_cell_carcinoma		DSMZ	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F04_419796	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202	yes	yes
CAL148_BREAST	CAL-148		F	breast	carcinoma	ductal_carcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D02_523558	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682	yes	yes
CAL51_BREAST	CAL-51		F	breast	carcinoma	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_F02_474714	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500	yes	yes
CAL851_BREAST	CAL-85-1		F	breast	carcinoma	NS		DSMZ	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A11_257618	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032	yes	yes
CALU1_LUNG	Calu-1		M	lung	carcinoma	squamous_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D07_257682	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140	yes	yes
CALU3_LUNG	Calu-3		M	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A02_474612	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216	yes	yes
CALU6_LUNG	Calu-6		F	lung	carcinoma	undifferentiated_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E04_241144	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442	yes	yes
CAMA1_BREAST	CAMA-1		F	breast	carcinoma	NS		ATCC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F09_419786	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A08_437580	yes	yes
CHAGOK1_LUNG	ChaGo-K-1		M	lung	carcinoma	NS		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C06_569486	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F04_542948	yes	yes
COLO668_LUNG	COLO 668		F	lung	carcinoma	small_cell_carcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C07_698840	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B02_542866	yes	yes
CORL105_LUNG	COR-L105		M	lung	carcinoma	adenocarcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C04_698816	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C04_698598	yes	
CORL23_LUNG	COR-L23		M	lung	carcinoma	large_cell_carcinoma		ECACC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A01_383726	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A06_335198	yes	yes
CORL24_LUNG	COR-L24		M	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E06_569536	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A04_578330	yes	yes
CORL279_LUNG	COR-L279		M	lung	carcinoma	small_cell_carcinoma		ECACC	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B07_779750	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E10_542926	yes	yes
CORL311_LUNG	COR-L311		M	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C12_569462	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A05_578382	yes	
CORL47_LUNG	COR-L47		M	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C08_569538	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H07_578444	yes	yes
CORL51_LUNG	COR-L51		M	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_F03_569426	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E01_578336	yes	yes
CORL88_LUNG	COR-L88		M	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E11_569432	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E03_578338	yes	yes
CORL95_LUNG	COR-L95		M	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E12_569470	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D09_578416	yes	yes
CPCN_LUNG	CPC-N			lung	carcinoma	small_cell_carcinoma		DSMZ	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A01_454758	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_D01_246682	yes	yes
DFCI024_LUNG	DFCI024			lung	carcinoma	adenocarcinoma		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C12_767852			
DMS114_LUNG	DMS 114		M	lung	carcinoma	small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_H05_454714	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D04_437284	yes	yes
DMS153_LUNG	DMS 153		M	lung	carcinoma	small_cell_carcinoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A11_454762	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E05_464700	yes	yes
DMS273_LUNG	DMS 273		F	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C10_569430	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_D07_542826	yes	yes
DMS454_LUNG	DMS 454		M	lung	carcinoma	small_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_C07_569558	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_B11_542808	yes	yes
DMS53_LUNG	DMS 53		M	lung	carcinoma	small_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A01_436578	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C06_464568	yes	yes
