"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"hist_primary"	"hist_secondary"	"match_id"
"1321N1_CENTRAL_NERVOUS_SYSTEM"	"1321N1_CENTRAL_NERVOUS_SYSTEM"	"1321N1"	"CCLE"	"central_nervous_system"	"glioma"	"astrocytoma"	"1321N1"
"143B_BONE"	"143B_BONE"	"143B"	"CCLE"	"bone"	"osteosarcoma"	"NS"	"143B"
"201T_LUNG"	"201T"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"201T"
"22RV1_PROSTATE"	"22RV1_PROSTATE"	"22Rv1"	"CCLE"	"prostate"	"carcinoma"	"NS"	"22RV1"
"22RV1_PROSTATE"	"22RV1"	NA	"cosmic_clp"	"prostate"	"carcinoma"	"adenocarcinoma"	"22RV1"
"22RV1_PROSTATE"	"22RV1"	"924100"	"gdsc"	"urogenital_system"	"prostate"	NA	"22RV1"
"22RV1_PROSTATE"	"22Rv1"	NA	"eurofins"	"prostate"	"carcinoma"	"NS"	"22RV1"
"2313287_STOMACH"	"2313287_STOMACH"	"23132/87"	"CCLE"	"stomach"	"carcinoma"	"adenocarcinoma"	"2313287"
"2313287_STOMACH"	"23132-87"	NA	"cosmic_clp"	"stomach"	"carcinoma"	"adenocarcinoma"	"2313287"
"2313287_STOMACH"	"23132-87"	"910924"	"gdsc"	"digestive_system"	"stomach"	NA	"2313287"
"253J_URINARY_TRACT"	"253J_URINARY_TRACT"	"253J"	"CCLE"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"253J"
"253JBV_URINARY_TRACT"	"253JBV_URINARY_TRACT"	"253J-BV"	"CCLE"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"253JBV"
"42MGBA_CENTRAL_NERVOUS_SYSTEM"	"42MGBA_CENTRAL_NERVOUS_SYSTEM"	"42-MG-BA"	"CCLE"	"central_nervous_system"	"glioma"	"astrocytoma_Grade_IV"	"42MGBA"
"42MGBA_CENTRAL_NERVOUS_SYSTEM"	"42-MG-BA"	NA	"cosmic_clp"	"central_nervous_system"	"glioma"	"NS"	"42MGBA"
"451LU_SKIN"	"451Lu"	NA	"cosmic_clp"	"skin"	"malignant_melanoma"	"NS"	"451LU"
"5637_URINARY_TRACT"	"5637_URINARY_TRACT"	"5637"	"CCLE"	"urinary_tract"	"carcinoma"	"NS"	"5637"
"5637_URINARY_TRACT"	"5637"	NA	"cosmic_clp"	"urinary_tract"	"carcinoma"	"NS"	"5637"
"5637_URINARY_TRACT"	"5637"	"687452"	"gdsc"	"urogenital_system"	"Bladder"	NA	"5637"
"5637_URINARY_TRACT"	"5637"	NA	"eurofins"	"urinary_tract"	"carcinoma"	"NS"	"5637"
"59M_OVARY"	"59M_OVARY"	"59M"	"CCLE"	"ovary"	"carcinoma"	"NS"	"59M"
"639V_URINARY_TRACT"	"639V_URINARY_TRACT"	"639-V"	"CCLE"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"639V"
"639V_URINARY_TRACT"	"639-V"	NA	"cosmic_clp"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"639V"
"639V_URINARY_TRACT"	"639-V"	"906798"	"gdsc"	"urogenital_system"	"Bladder"	NA	"639V"
"639V_URINARY_TRACT"	"639-V"	NA	"eurofins"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"639V"
"647V_URINARY_TRACT"	"647V_URINARY_TRACT"	"647-V"	"CCLE"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"647V"
"647V_URINARY_TRACT"	"647-V"	NA	"cosmic_clp"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"647V"
"647V_URINARY_TRACT"	"647-V"	"906797"	"gdsc"	"urogenital_system"	"Bladder"	NA	"647V"
"647V_URINARY_TRACT"	"647-V"	NA	"eurofins"	"urinary_tract"	"carcinoma"	"transitional_cell_carcinoma"	"647V"
"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"697"	"CCLE"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_B_cell_leukaemia"	"697"
"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"697"	NA	"cosmic_clp"	"haematopoietic_and_lymphoid_tissue"	"lymphoid_neoplasm"	"acute_lymphoblastic_leukaemia"	"697"
"697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"697"	"906800"	"gdsc"	"blood"	"lymphoblastic_leukemia"	NA	"697"
"769P_KIDNEY"	"769P_KIDNEY"	"769-P"	"CCLE"	"kidney"	"carcinoma"	"clear_cell_renal_cell_carcinoma"	"769P"
"769P_KIDNEY"	"769-P"	NA	"cosmic_clp"	"kidney"	"carcinoma"	"clear_cell_renal_cell_carcinoma"	"769P"
"769P_KIDNEY"	"769-P"	"910922"	"gdsc"	"kidney"	"kidney"	NA	"769P"
"769P_KIDNEY"	"769-P"	NA	"eurofins"	"kidney"	"carcinoma"	"clear_cell_renal_cell_carcinoma"	"769P"
"7860_KIDNEY"	"786-0"	NA	"cosmic_clp"	"kidney"	"carcinoma"	"clear_cell_renal_cell_carcinoma"	"7860"
"7860_KIDNEY"	"786-0"	"905947"	"gdsc"	"kidney"	"kidney"	NA	"7860"
