"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"hist_primary"	"hist_secondary"	"match_id"
"201T_LUNG"	"201T"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"201T"
"A427_LUNG"	"A427"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"A427"
"A427_LUNG"	"A427"	"910851"	"gdsc"	"lung"	"lung_NSCLC_not_specified"	NA	"A427"
"A427_LUNG"	"A427"	NA	"eurofins"	"lung"	"carcinoma"	"NS"	"A427"
"A549_LUNG"	"A549_LUNG"	"A549"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"A549"
"A549_LUNG"	"A549"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"A549"
"A549_LUNG"	"A549"	"905949"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"A549"
"A549_LUNG"	"A549"	NA	"eurofins"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"A549"
"ABC1_LUNG"	"ABC1_LUNG"	"ABC-1"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"ABC1"
"ABC1_LUNG"	"ABC-1"	NA	"cosmic_clp"	"lung"	"carcinoma"	"adenocarcinoma"	"ABC1"
"ABC1_LUNG"	"ABC-1"	"906791"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"ABC1"
"AU565_BREAST"	"AU565_BREAST"	"AU565"	"CCLE"	"breast"	"carcinoma"	"NS"	"AU565"
"AU565_BREAST"	"AU565"	NA	"cosmic_clp"	"breast"	"carcinoma"	"NS"	"AU565"
"AU565_BREAST"	"AU565"	"910704"	"gdsc"	"breast"	"breast"	NA	"AU565"
"AU565_BREAST"	"AU565"	NA	"eurofins"	"breast"	"carcinoma"	"NS"	"AU565"
"BEN_LUNG"	"BEN_LUNG"	"BEN"	"CCLE"	"lung"	"carcinoma"	"NS"	"BEN"
"BEN_LUNG"	"BEN"	NA	"cosmic_clp"	"lung"	"carcinoma"	"NS"	"BEN"
"BEN_LUNG"	"BEN"	"753534"	"gdsc"	"lung"	"lung_NSCLC_not_specified"	NA	"BEN"
"BT20_BREAST"	"BT20_BREAST"	"BT-20"	"CCLE"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT20"
"BT20_BREAST"	"BT-20"	NA	"cosmic_clp"	"breast"	"carcinoma"	"NS"	"BT20"
"BT20_BREAST"	"BT-20"	"906801"	"gdsc"	"breast"	"breast"	NA	"BT20"
"BT20_BREAST"	"BT20"	NA	"eurofins"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT20"
"BT474_BREAST"	"BT474_BREAST"	"BT-474"	"CCLE"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT474"
"BT474_BREAST"	"BT-474"	NA	"cosmic_clp"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT474"
"BT474_BREAST"	"BT-474"	"946359"	"gdsc"	"breast"	"breast"	NA	"BT474"
"BT474_BREAST"	"BT474"	NA	"eurofins"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT474"
"BT483_BREAST"	"BT483_BREAST"	"BT-483"	"CCLE"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT483"
"BT483_BREAST"	"BT-483"	NA	"cosmic_clp"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT483"
"BT549_BREAST"	"BT549_BREAST"	"BT-549"	"CCLE"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT549"
"BT549_BREAST"	"BT-549"	NA	"cosmic_clp"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT549"
"BT549_BREAST"	"BT-549"	"905951"	"gdsc"	"breast"	"breast"	NA	"BT549"
"BT549_BREAST"	"BT-549"	NA	"eurofins"	"breast"	"carcinoma"	"ductal_carcinoma"	"BT549"
"CAL120_BREAST"	"CAL120_BREAST"	"CAL-120"	"CCLE"	"breast"	"carcinoma"	"NS"	"CAL120"
"CAL120_BREAST"	"CAL-120"	NA	"cosmic_clp"	"breast"	"carcinoma"	"NS"	"CAL120"
"CAL120_BREAST"	"CAL-120"	"906826"	"gdsc"	"breast"	"breast"	NA	"CAL120"
"CAL12T_LUNG"	"CAL12T_LUNG"	"CAL-12T"	"CCLE"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"CAL12T"
"CAL12T_LUNG"	"CAL-12T"	NA	"cosmic_clp"	"lung"	"carcinoma"	"non_small_cell_carcinoma"	"CAL12T"
"CAL12T_LUNG"	"CAL-12T"	"753540"	"gdsc"	"lung"	"lung_NSCLC_not_specified"	NA	"CAL12T"
"CAL148_BREAST"	"CAL148_BREAST"	"CAL-148"	"CCLE"	"breast"	"carcinoma"	"ductal_carcinoma"	"CAL148"
"CAL148_BREAST"	"CAL-148"	NA	"cosmic_clp"	"breast"	"carcinoma"	"ductal_carcinoma"	"CAL148"
"CAL148_BREAST"	"CAL-148"	"924106"	"gdsc"	"breast"	"breast"	NA	"CAL148"
"CAL51_BREAST"	"CAL51_BREAST"	"CAL-51"	"CCLE"	"breast"	"carcinoma"	"NS"	"CAL51"
"CAL51_BREAST"	"CAL-51"	NA	"cosmic_clp"	"breast"	"carcinoma"	"NS"	"CAL51"
"CAL51_BREAST"	"CAL-51"	"910927"	"gdsc"	"breast"	"breast"	NA	"CAL51"
"CAL851_BREAST"	"CAL851_BREAST"	"CAL-85-1"	"CCLE"	"breast"	"carcinoma"	"NS"	"CAL851"
"CAL851_BREAST"	"CAL-85-1"	NA	"cosmic_clp"	"breast"	"carcinoma"	"NS"	"CAL851"
"CAL851_BREAST"	"CAL-85-1"	"910852"	"gdsc"	"breast"	"breast"	NA	"CAL851"
"CALU1_LUNG"	"CALU1_LUNG"	"Calu-1"	"CCLE"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"CALU1"
"CALU1_LUNG"	"Calu-1"	"724858"	"gdsc"	"lung"	"lung_NSCLC_adenocarcinoma"	NA	"CALU1"
