"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"match_id"
"1321N1_CENTRAL_NERVOUS_SYSTEM"	"1321N1_CENTRAL_NERVOUS_SYSTEM"	"1321N1"	"CCLE"	"central_nervous_system"	"1321N1"
"143B_BONE"	"143B_BONE"	"143B"	"CCLE"	"bone"	"143B"
"201T_LUNG"	"201T"	NA	"cosmic_clp"	"lung"	"201T"
"22RV1_PROSTATE"	"22RV1_PROSTATE"	"22Rv1"	"CCLE"	"prostate"	"22RV1"
"22RV1_PROSTATE"	"22RV1"	NA	"cosmic_clp"	"prostate"	"22RV1"
"22RV1_PROSTATE"	"22RV1"	"924100"	"gdsc"	"urogenital_system"	"22RV1"
"22RV1_PROSTATE"	"22Rv1"	NA	"eurofins"	"Prostate"	"22RV1"
"2313287_STOMACH"	"2313287_STOMACH"	"23132/87"	"CCLE"	"stomach"	"2313287"
"2313287_STOMACH"	"23132-87"	NA	"cosmic_clp"	"stomach"	"2313287"
"2313287_STOMACH"	"23132-87"	"910924"	"gdsc"	"digestive_system"	"2313287"
"253J_URINARY_TRACT"	"253J_URINARY_TRACT"	"253J"	"CCLE"	"urinary_tract"	"253J"
"253JBV_URINARY_TRACT"	"253JBV_URINARY_TRACT"	"253J-BV"	"CCLE"	"urinary_tract"	"253JBV"
"42MGBA_CENTRAL_NERVOUS_SYSTEM"	"42MGBA_CENTRAL_NERVOUS_SYSTEM"	"42-MG-BA"	"CCLE"	"central_nervous_system"	"42MGBA"
"42MGBA_CENTRAL_NERVOUS_SYSTEM"	"42-MG-BA"	NA	"cosmic_clp"	"central_nervous_system"	"42MGBA"
"451LU_SKIN"	"451Lu"	NA	"cosmic_clp"	"skin"	"451LU"
"5637_URINARY_TRACT"	"5637_URINARY_TRACT"	"5637"	"CCLE"	"urinary_tract"	"5637"
"5637_URINARY_TRACT"	"5637"	NA	"cosmic_clp"	"urinary_tract"	"5637"
"5637_URINARY_TRACT"	"5637"	"687452"	"gdsc"	"urogenital_system"	"5637"
