"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"match_id"
"AU565_BREAST"	"AU565_BREAST"	"AU565"	"CCLE"	"breast"	"AU565"
"AU565_BREAST"	"AU565"	NA	"cosmic_clp"	"breast"	"AU565"
"AU565_BREAST"	"AU565"	"910704"	"gdsc"	"breast"	"AU565"
"AU565_BREAST"	"AU565"	NA	"eurofins"	"Breast"	"AU565"
"BT20_BREAST"	"BT20_BREAST"	"BT-20"	"CCLE"	"breast"	"BT20"
"BT20_BREAST"	"BT-20"	NA	"cosmic_clp"	"breast"	"BT20"
"BT20_BREAST"	"BT-20"	"906801"	"gdsc"	"breast"	"BT20"
"BT20_BREAST"	"BT20"	NA	"eurofins"	"Breast"	"BT20"
"BT474_BREAST"	"BT474_BREAST"	"BT-474"	"CCLE"	"breast"	"BT474"
"BT474_BREAST"	"BT-474"	NA	"cosmic_clp"	"breast"	"BT474"
"BT474_BREAST"	"BT-474"	"946359"	"gdsc"	"breast"	"BT474"
"BT474_BREAST"	"BT474"	NA	"eurofins"	"Breast"	"BT474"
"BT483_BREAST"	"BT483_BREAST"	"BT-483"	"CCLE"	"breast"	"BT483"
"BT483_BREAST"	"BT-483"	NA	"cosmic_clp"	"breast"	"BT483"
"BT549_BREAST"	"BT549_BREAST"	"BT-549"	"CCLE"	"breast"	"BT549"
"BT549_BREAST"	"BT-549"	NA	"cosmic_clp"	"breast"	"BT549"
"BT549_BREAST"	"BT-549"	"905951"	"gdsc"	"breast"	"BT549"
"BT549_BREAST"	"BT-549"	NA	"eurofins"	"Breast"	"BT549"
"CAL120_BREAST"	"CAL120_BREAST"	"CAL-120"	"CCLE"	"breast"	"CAL120"
"CAL120_BREAST"	"CAL-120"	NA	"cosmic_clp"	"breast"	"CAL120"
"CAL120_BREAST"	"CAL-120"	"906826"	"gdsc"	"breast"	"CAL120"
"CAL148_BREAST"	"CAL148_BREAST"	"CAL-148"	"CCLE"	"breast"	"CAL148"
"CAL148_BREAST"	"CAL-148"	NA	"cosmic_clp"	"breast"	"CAL148"
"CAL148_BREAST"	"CAL-148"	"924106"	"gdsc"	"breast"	"CAL148"
"CAL51_BREAST"	"CAL51_BREAST"	"CAL-51"	"CCLE"	"breast"	"CAL51"
"CAL51_BREAST"	"CAL-51"	NA	"cosmic_clp"	"breast"	"CAL51"
"CAL51_BREAST"	"CAL-51"	"910927"	"gdsc"	"breast"	"CAL51"
"CAL851_BREAST"	"CAL851_BREAST"	"CAL-85-1"	"CCLE"	"breast"	"CAL851"
"CAL851_BREAST"	"CAL-85-1"	NA	"cosmic_clp"	"breast"	"CAL851"
"CAL851_BREAST"	"CAL-85-1"	"910852"	"gdsc"	"breast"	"CAL851"
"CAMA1_BREAST"	"CAMA1_BREAST"	"CAMA-1"	"CCLE"	"breast"	"CAMA1"
"CAMA1_BREAST"	"CAMA-1"	NA	"cosmic_clp"	"breast"	"CAMA1"
"CAMA1_BREAST"	"CAMA-1"	"946382"	"gdsc"	"breast"	"CAMA1"
"CAMA1_BREAST"	"CAMA-1"	NA	"eurofins"	"Breast"	"CAMA1"
"COLO824_BREAST"	"COLO-824"	NA	"cosmic_clp"	"breast"	"COLO824"
"COLO824_BREAST"	"COLO-824"	"906812"	"gdsc"	"breast"	"COLO824"
"DU4475_BREAST"	"DU4475_BREAST"	"DU4475"	"CCLE"	"breast"	"DU4475"
"DU4475_BREAST"	"DU-4475"	NA	"cosmic_clp"	"breast"	"DU4475"
"DU4475_BREAST"	"DU-4475"	"906844"	"gdsc"	"breast"	"DU4475"
"EFM19_BREAST"	"EFM19_BREAST"	"EFM-19"	"CCLE"	"breast"	"EFM19"
"EFM19_BREAST"	"EFM-19"	NA	"cosmic_clp"	"breast"	"EFM19"
