CellLineID	CCLE_name	GI50
A375	A375_SKIN	810.9611
A427		696.6265
A549	A549_LUNG	609.5369
Colo205	COLO205_LARGE_INTESTINE	1233.1048
Colo320	COLO320_LARGE_INTESTINE	903.6495
Colo699		799.8343
DMS114	DMS114_LUNG	313.3286
DV90	DV90_LUNG	229.6149
EKVX		707.9458
H1155	NCIH1155_LUNG	707.9458
H1299	NCIH1299_LUNG	441.5704
H1395	NCIH1395_LUNG	931.1079
H1437	NCIH1437_LUNG	783.4296
H1563	NCIH1563_LUNG	311.889
H1568	NCIH1568_LUNG	1633.0519
H157		1396.3684
H1581	NCIH1581_LUNG	522.3962
H1648	NCIH1648_LUNG	564.937
H1666	NCIH1666_LUNG	835.603
H1693	NCIH1703_LUNG	724.436
H1703	NCIH1755_LUNG	331.1311
H1755	NCIH1781_LUNG	503.5006
H1781	NCIH1792_LUNG	1674.9429
H1792	NCIH1793_LUNG	769.1304
H1793	NCIH1793_LUNG	517.6068
H1819		779.8301
H1838	NCIH1838_LUNG	156.3148
H1915	NCIH1915_LUNG	2000
H1944	NCIH1944_LUNG	582.1032
H1975	NCIH1975_LUNG	843.3348
H1993		523.6004
H2009	NCIH2009_LUNG	580.7644
H2030	NCIH2030_LUNG	171.3957
H2052	NCIH2052_PLEURA	939.7233
H2077		356.4511
H2085	NCIH2085_LUNG	327.3407
H2087	NCIH2087_LUNG	703.0723
H2110	NCIH2110_LUNG	1083.9269
H2122	NCIH2122_LUNG	1116.8632
H2126	NCIH2126_LUNG	755.0922
H2172	NCIH2172_LUNG	1520.5475
H2228	NCIH2228_LUNG	1018.5914
H2286	NCIH2286_LUNG	1018.5914
H23	NCIH23_LUNG	557.1857
H2347	NCIH2347_LUNG	454.9881
H28	NCIH28_PLEURA	644.1693
H2882		751.6229
H2887		1002.3052
H292	NCIH292_LUNG	704.6931
H3122		1710.0153
H322	NCIH322_LUNG	711.2135
H322M		668.3439
H3255	NCIH3255_LUNG	870.9636
H358	NCIH358_LUNG	1247.3835
H460	NCIH446_LUNG	628.0584
H520	NCIH520_LUNG	264.2409
H596	NCIH596_LUNG	783.4296
H647	NCIH647_LUNG	851.138
H661	NCIH661_LUNG	273.5269
H838	NCIH838_LUNG	879.0225
HCC1195	HCC1195_LUNG	2000
HCC1359	HCC1359_LUNG	2000
HCC15	HCC15_LUNG	807.235
HCC1833	HCC1833_LUNG	979.49
HCC2429		204.6445
HCC2450		1196.7405
HCC364	HCC364_LUNG	868.9604
HCC366	HCC366_LUNG	924.6982
HCC44	HCC44_LUNG	328.0953
HCC461		758.5776
HCC515		296.4831
HCC78	HCC78_LUNG	796.1594
HCC827	HCC827_LUNG	970.51
HCC95	HCC95_LUNG	805.3784
HCT116	HCT116_LARGE_INTESTINE	280.5434
HCT15	HCT15_LARGE_INTESTINE	310.201
HEC1A	HEC1A_ENDOMETRIUM	763.8358
HEC1B	HEC1B_ENDOMETRIUM	997.7001
HEK293T		853.1001
HOP62		732.8245
HOP92		1004.6158
LCLC97TM	LCLC97TM1_LUNG	1300.1696
LS123	LS123_LARGE_INTESTINE	1166.8096
PC9		827.9422
RL952	RL952_ENDOMETRIUM	221.3095
SHSY5Y	SHSY5Y_AUTONOMIC_GANGLIA	139.9587
SKCO1	SKCO1_LARGE_INTESTINE	2000
SKLV1		1104.0786
SKMES1	SKMES1_LUNG	822.2426
SW116		2000
SW1417	SW1417_LARGE_INTESTINE	866.9619
SW403	SW403_LARGE_INTESTINE	1352.0726
SW620	SW620_LARGE_INTESTINE	2000
SW837	SW837_LARGE_INTESTINE	2000
